shift,allocated1,allocated2,allocated3,allocated4,allocated,abandoned1,abandoned2,abandoned3,abandoned4,abandoned,Arrival time1,Arrival time2,Arrival time3,Arrival time4,Arrival time,sharing1,sharing2,sharing,SW1, SW2, SW3,SW4,SWP,SWpenalty, SW,SW1 %,SW2 %, SW3 %,SW4 %,SWP %,Working,Waiting,Moving,Patroling,Working%,Waiting%,Moving%,Patroling%,Reallocation%,completed1,completed2,completed3,completed4,completed,working1, working2, working3, working4, working,sharing1_1,sharing1_2,sharing1_3,sharing2_1,sharing2_2,SW1_average,SW2_average,SW3_average,SW4_average
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,10.153036709460071,5.884801696388718,7.5743214930246925,21.770277488133093,10.592398883231839,1.0,0.6666666666666666,0.875,9358.8594944426,2884.82125188116,1569.5703843133451,1332.7474810970589,4511.325946495445,0.0,19657.324558229615,0.4761003699521499,0.14675553854420229,0.07984659253419298,0.06779902713358309,0.22949847183587155,21588.40372641007,0.0,8991.820660129239,41497.64015282021,0.29951502953616643,0.0,0.12475148532208637,0.5757334851417472,0.0,1.0,0.6666666666666666,0.5,1.0,0.8333333333333334,0.767815897040491,0.9090950040089985,0.7688973983031491,0.7593735572976354,0.7944914006118873,0.14866322380847113,0.17747733464048587,0.673859441551043,0.1213750106031159,0.878624989396884,1871.7718988885208,1439.7064218091955,1082.7912826159886,666.3737405485293
0,1.0,1.0,NaN,1.0,0.3,0.0,0.0,NaN,0.0,0.0,12.735380524857423,14.550231279249521,NaN,36.15797579692135,17.54657178073079,1.0,0.8333333333333334,0.9,8105.072883063367,6095.875025376403,0.0,1176.0973924124255,3089.5349914207686,0.0,18466.58029227296,0.4389049165997888,0.330103079665872,0.0,0.06368788231487257,0.16730412141946682,30542.93768660188,0.0,9272.658389844033,32314.791416358545,0.4234406433716824,0.0,0.12855411861982646,0.44800523800849096,0.0,1.0,0.6666666666666666,NaN,1.0,0.8333333333333334,0.8791794131115527,0.8644607696579979,NaN,0.5878598794627254,0.8150280490003652,0.09317696453462085,0.08177024803817314,0.8250527874272061,0.12780005540810463,0.8721999445918954,2026.2682207658418,1374.0230851245578,NaN,588.0486962062128
0,1.0,1.0,1.0,NaN,0.3,0.0,0.25,0.0,NaN,0.08333333333333333,7.820405593899097,9.212873926064058,6.95592256772311,NaN,8.140481200258089,1.0,1.0,1.0,9636.449131408976,5207.184189902219,2261.448049600569,0.0,3180.22191117418,-90.0,20285.303282085944,0.47504584956927776,0.25669737925489683,0.11148209214094745,0.0,0.15677467903487796,32429.627653198488,0.0,8685.903349756853,30891.9015089965,0.4503650043044626,0.0,0.12062509447639536,0.4290099012191421,0.0020576131687242796,0.5,0.75,1.0,NaN,0.6666666666666666,0.89782259729731,0.8887097534221179,0.8865871450702909,NaN,0.8915964177873582,0.1520006787191658,0.1755102254897141,0.67248909579112,0.08150588652275058,0.9184941134772494,1966.349251454211,1418.7843578996417,1130.7240248002845,NaN
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.9533065355688786,9.544031304236306,7.034016895043896,14.732793208796375,9.73376335684133,1.0,1.0,1.0,611.920503862194,10488.907497569357,26.499574049598316,1410.906838471606,4711.650952657283,0.0,17249.88536661003,0.03547388813647806,0.6080566493428617,0.001536217400081543,0.08179224432428095,0.2731410007962982,17276.501958970635,0.0,9533.729952294601,46089.76808873487,0.23698905293512498,0.0,0.13077818864601629,0.6322327584188587,0.0,1.0,0.875,0.0,1.0,0.8333333333333334,0.196497258799988,0.8608349760084745,NaN,0.926883282967877,0.8076108656795065,0.9672007343710518,0.032799265628947916,0.0,0.22915048607911823,0.7708495139208819,611.920503862194,1338.7806086471194,NaN,705.4534192358028
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,1.0,0.08333333333333333,8.96817970656458,7.499777627410521,15.582340686516204,5.298372191995986,9.948802138883254,1.0,1.0,1.0,4971.103205968646,3589.853158184096,2981.9707306301534,387.94534483372547,3983.1113954840202,-43.913230090686525,15913.983835100646,0.31237327230433287,0.2255785349150691,0.18738053032660343,0.024377638487859628,0.25029002396613464,23215.86294958828,0.0,9585.603307773577,39514.8393984783,0.3210322034435038,0.0,0.1325510646712559,0.5464167318852403,0.0,0.6,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6467899255445105,0.8422158405781843,0.8548577875629725,NaN,0.7720916091867537,0.588847769673349,0.2031280416555851,0.20802418867106598,0.32535795014719876,0.6746420498528013,1147.571868070441,1196.6177193946987,1061.2740399399179,NaN
0,1.0,0.8333333333333334,1.0,1.0,0.275,0.0,0.2,0.0,0.5,0.18181818181818182,5.521540092941905,5.61634476799068,23.86820751865257,13.224094306246297,10.30085524323954,1.0,0.8,0.8571428571428571,3965.0350059347215,5624.236522784888,1962.5912043577023,1301.250594810111,4366.325303112842,-120.0,17219.43863100026,0.23026505630656538,0.326621363408418,0.11397533023082632,0.07556870015886938,0.25356954989532127,26054.108700330522,0.0,6018.378563658454,40928.10460201612,0.3569027049555114,0.0,0.08244287354142799,0.5606544215030607,0.0010288065843621398,0.5,0.8,1.0,0.0,0.6363636363636364,0.9319117340824047,0.7133466293520792,0.7650819097020063,NaN,0.7593517244135334,0.25759811732446086,0.1145091921888787,0.6278926904866604,0.34150505919877366,0.6584949408012264,2024.175784665846,1233.2422557233108,981.2956021788511,NaN
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,8.186062191327203,10.461315670223302,38.88468042422551,19.039740633614564,12.786380320374057,1.0,1.0,1.0,7193.401406372452,7030.114161385132,860.6227677701999,679.830310811017,2841.0438352192427,0.0,18605.012481558057,0.38663781674442865,0.37786129777411487,0.04625757540465396,0.03654016956370702,0.1527031405130948,39358.797150550454,0.0,7399.21811435958,26645.216818542598,0.5361997834891408,0.0,0.1008023475852856,0.3629978689255736,0.0,0.75,0.6666666666666666,1.0,1.0,0.75,0.8627272266759469,0.8866062868485602,0.8927569681688419,0.8960938245831493,0.8803841800193413,0.10114858459343229,0.09358528031524273,0.8052661350913249,0.021044954084932264,0.9789550459150678,2081.1584718173012,1425.8864136412626,860.6227677701999,679.830310811017
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,8.636864909596632,16.779155623704177,11.39993811959389,11.804769208292225,14.37503074427484,1.0,0.8571428571428571,0.875,2212.2414506751966,7254.5344822562265,2182.1254734761897,1447.843554268036,2975.1403434128397,0.0,16071.885304088491,0.13764666738334858,0.45138042892894226,0.135772837609853,0.09008548324444067,0.18511458283341534,37560.142789824284,0.0,6579.926813834436,28019.844888574018,0.5205125734159128,0.0,0.09118534660324044,0.3883020799808467,0.0,1.0,0.5714285714285714,1.0,1.0,0.75,0.9618624060020218,0.7797772849274015,0.8071564658402963,0.9081593455473677,0.8346225742763282,0.019075705262101283,0.006778932392632027,0.9741453623452667,0.07894178356027565,0.9210582164397243,2212.2414506751966,1288.0112187733173,1091.0627367380948,723.9217771340179
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,6.063884014593396,7.0054541233766034,17.368826064238885,14.155824469449556,12.279861629218908,1.0,1.0,1.0,6264.129377092511,1920.3480000352008,3171.304604888752,1422.4890097719583,4210.194626640148,0.0,16988.465618428574,0.3687283782884649,0.11303834278900769,0.18667398669887034,0.08373263611452263,0.2478266561091342,25321.238359347684,0.0,5954.648472630221,42211.75163976131,0.3445645946166218,0.0,0.08102925330659755,0.5744061520767806,0.0,1.0,0.5,0.4,1.0,0.6666666666666666,0.9434437248467967,0.7209782393882284,0.9507158632135166,0.8987097039648522,0.9062700685356696,0.1253018797202074,0.1078724458930105,0.7668256743867822,0.4237669227330998,0.5762330772669002,2088.043125697504,1207.473797366157,1083.8403496478873,711.244504885979
0,1.0,1.0,NaN,1.0,0.3,0.0,0.0,NaN,0.0,0.0,11.531393928080142,7.736542964357781,NaN,7.1378491356006,8.80192867601284,1.0,1.0,1.0,8321.330188507438,5887.690222922031,0.0,2342.7561129869023,3961.568954386449,0.0,20513.345478802814,0.4056544651434926,0.28701755298793147,0.0,0.11420643772649164,0.1931215441420846,29220.14184107205,0.0,7162.174735986128,39078.641823081656,0.38722198154612764,0.0,0.09491232138886876,0.5178656970650036,0.0,0.75,0.75,NaN,0.75,0.75,0.8159706635344585,0.9478639389347497,NaN,0.9145894138184497,0.8928080054292192,0.1039316527444104,0.03129670621933611,0.8647716410362535,0.04539648815963792,0.9546035118403621,2069.9946373774246,1485.8256645805795,NaN,746.633383020284
